Sigma,TPR,FPR,Precision,F1,N_Alertas
0.5,0.5714285714285714,0.20118343195266272,0.19047619047619047,0.2857142857142857,42
0.6,0.5714285714285714,0.1834319526627219,0.20512820512820512,0.3018867924528302,39
0.7,0.5,0.16568047337278108,0.2,0.2857142857142857,35
0.8,0.42857142857142855,0.14201183431952663,0.2,0.2727272727272727,30
0.9,0.42857142857142855,0.11834319526627218,0.23076923076923078,0.3,26
1.0,0.35714285714285715,0.11834319526627218,0.2,0.2564102564102564,25
1.1,0.35714285714285715,0.11242603550295859,0.20833333333333334,0.2631578947368421,24
1.2,0.35714285714285715,0.09467455621301775,0.23809523809523808,0.2857142857142857,21
1.3,0.35714285714285715,0.08875739644970414,0.25,0.29411764705882354,20
1.4,0.2857142857142857,0.07692307692307693,0.23529411764705882,0.25806451612903225,17
1.5,0.2857142857142857,0.07100591715976332,0.25,0.26666666666666666,16
1.6,0.2857142857142857,0.04142011834319527,0.36363636363636365,0.32,11
1.7,0.2857142857142857,0.03550295857988166,0.4,0.3333333333333333,10
1.8,0.2857142857142857,0.03550295857988166,0.4,0.3333333333333333,10
1.9,0.2857142857142857,0.03550295857988166,0.4,0.3333333333333333,10
2.0,0.2857142857142857,0.029585798816568046,0.4444444444444444,0.34782608695652173,9
2.1,0.21428571428571427,0.029585798816568046,0.375,0.2727272727272727,8
2.2,0.14285714285714285,0.029585798816568046,0.2857142857142857,0.19047619047619047,7
2.3,0.07142857142857142,0.029585798816568046,0.16666666666666666,0.1,6
2.4,0.07142857142857142,0.029585798816568046,0.16666666666666666,0.1,6
2.5,0.07142857142857142,0.01775147928994083,0.25,0.1111111111111111,4
2.6,0.07142857142857142,0.01775147928994083,0.25,0.1111111111111111,4
2.7,0.07142857142857142,0.01775147928994083,0.25,0.1111111111111111,4
2.8,0.07142857142857142,0.01775147928994083,0.25,0.1111111111111111,4
2.9,0.07142857142857142,0.01775147928994083,0.25,0.1111111111111111,4
3.0,0.07142857142857142,0.01775147928994083,0.25,0.1111111111111111,4
